Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Gujarat,India,1/20/2025,22.694884,71.590923,1223780,10941,,0.0,0.0
Haryana,India,1/20/2025,29.20004,76.332824,984625,10598,,0.0,0.0
Himachal Pradesh,India,1/20/2025,31.927213,77.233081,284361,4132,,0.0,0.0
Jammu and Kashmir,India,1/20/2025,33.75943,76.612638,453562,4750,,0.0,0.0
Jharkhand,India,1/20/2025,23.654536,85.557631,435044,5315,,0.0,0.0
Karnataka,India,1/20/2025,14.70518,76.166436,3944785,40039,,0.0,0.0
Kerala,India,1/20/2025,10.450898,76.405749,6527645,67363,,0.0,0.0
Ladakh,India,1/20/2025,34.1526,77.5771,28208,228,,0.0,0.0
Lakshadweep,India,1/20/2025,13.6999972,72.18333259999999,11402,52,,0.0,0.0
Madhya Pradesh,India,1/20/2025,23.541513,78.289633,1040901,10734,,0.0,0.0
Maharashtra,India,1/20/2025,19.449759,76.108221,7872512,143767,,0.0,0.0
Manipur,India,1/20/2025,24.738975,93.882541,137045,2120,,0.0,0.0
Meghalaya,India,1/20/2025,25.536934,91.278882,93728,1591,,0.0,0.0
Mizoram,India,1/20/2025,23.309381,92.83822,222993,677,,0.0,0.0
Nagaland,India,1/20/2025,26.06702,94.470302,35466,758,,0.0,0.0
Odisha,India,1/20/2025,20.505428,84.418059,1287193,9116,,0.0,0.0
Puducherry,India,1/20/2025,11.882658,78.86498,165772,1962,,0.0,0.0
Punjab,India,1/20/2025,30.841465000000003,75.40879,758942,17738,,0.0,0.0
Rajasthan,India,1/20/2025,26.583423,73.847973,1282657,9551,,0.0,0.0
Sikkim,India,1/20/2025,27.571671,88.472712,39122,449,,0.0,0.0
Tamil Nadu,India,1/20/2025,11.006091,78.400624,3452442,38025,,0.0,0.0
Telangana,India,1/20/2025,18.1124,79.0193,790864,4111,,0.0,0.0
Tripura,India,1/20/2025,23.746783,91.743565,100870,919,,0.0,0.0
Unknown,India,1/20/2025,,,0,0,,0.0,0.0
Uttar Pradesh,India,1/20/2025,26.925425,80.560982,2070339,23492,,0.0,0.0
Uttarakhand,India,1/20/2025,30.156447,79.197608,437056,7690,,0.0,0.0
West Bengal,India,1/20/2025,23.814082,87.979803,2016842,21195,,0.0,0.0
,Indonesia,1/20/2025,-0.7893,113.9213,5967182,153892,,0.0,0.0
,Iran,1/20/2025,32.427908,53.68804599999999,7142287,139662,,0.0,0.0
,Iraq,1/20/2025,33.223191,43.679291,2316306,25131,,0.0,0.0
,Ireland,1/20/2025,53.1424,-7.6921,1390177,6664,,0.0,0.0
,Israel,1/20/2025,31.046051,34.851612,3785806,10431,,0.0,0.0
Abruzzo,Italy,1/20/2025,42.35122196,13.39843823,292330,3044,,0.0,0.0
Basilicata,Italy,1/20/2025,40.63947052,15.80514834,96914,811,,0.0,0.0
Calabria,Italy,1/20/2025,38.90597598,16.59440194,266337,2225,,0.0,0.0
Campania,Italy,1/20/2025,40.83956555,14.25084984,1316023,9932,,0.0,0.0
Emilia-Romagna,Italy,1/20/2025,44.49436681,11.3417208,1241599,16159,,0.0,0.0
Friuli Venezia Giulia,Italy,1/20/2025,45.6494354,13.76813649,323265,4866,,0.0,0.0
Lazio,Italy,1/20/2025,41.89277044,12.48366722,1199477,10657,,0.0,0.0
Liguria,Italy,1/20/2025,44.41149315,8.9326992,369788,5175,,0.0,0.0
Lombardia,Italy,1/20/2025,45.46679409,9.190347404,2449535,39075,,0.0,0.0
Marche,Italy,1/20/2025,43.61675973,13.5188753,366022,3669,,0.0,0.0
Molise,Italy,1/20/2025,41.55774754,14.65916051,45162,584,,0.0,0.0
P.A. Bolzano,Italy,1/20/2025,46.49933453,11.35662422,199624,1434,,0.0,0.0
P.A. Trento,Italy,1/20/2025,46.06893511,11.12123097,145271,1534,,0.0,0.0
Piemonte,Italy,1/20/2025,45.0732745,7.680687483,1021705,13161,,0.0,0.0
Puglia,Italy,1/20/2025,41.12559576,16.86736689,839825,7862,,0.0,0.0
Sardegna,Italy,1/20/2025,39.21531192,9.110616306,209448,2159,,0.0,0.0
Sicilia,Italy,1/20/2025,38.11569725,13.362356699999998,909454,9868,,0.0,0.0
Toscana,Italy,1/20/2025,43.76923077,11.25588885,933576,9345,,0.0,0.0
Umbria,Italy,1/20/2025,43.10675841,12.38824698,216276,1777,,0.0,0.0
Valle d'Aosta,Italy,1/20/2025,45.73750286,7.320149366,31974,522,,0.0,0.0
Veneto,Italy,1/20/2025,45.43490485,12.33845213,1421583,14045,,0.0,0.0
,Jamaica,1/20/2025,18.1096,-77.2975,128565,2869,,0.0,0.0
Aichi,Japan,1/20/2025,35.035551,137.211621,389795,1915,,0.0,0.0
Akita,Japan,1/20/2025,39.748679,140.408228,13862,44,,0.0,0.0
Aomori,Japan,1/20/2025,40.781541,140.828896,31617,81,,0.0,0.0
Chiba,Japan,1/20/2025,35.510141,140.198917,333713,1604,,0.0,0.0
Ehime,Japan,1/20/2025,33.624835,132.856842,22378,126,,0.0,0.0
Fukui,Japan,1/20/2025,35.846614,136.22465400000002,19661,41,,0.0,0.0
Fukuoka,Japan,1/20/2025,33.526032,130.666949,282573,1094,,0.0,0.0
Fukushima,Japan,1/20/2025,37.378867,140.223295,31907,189,,0.0,0.0
Gifu,Japan,1/20/2025,35.778671,137.055925,62984,305,,0.0,0.0
Gunma,Japan,1/20/2025,36.504479,138.985605,64269,275,,0.0,0.0
Hiroshima,Japan,1/20/2025,34.605309000000005,132.788719,88767,440,,0.0,0.0
Hokkaido,Japan,1/20/2025,43.385711,142.552318,206875,1900,,0.0,0.0
Hyogo,Japan,1/20/2025,35.039913,134.828057,316200,2044,,0.0,0.0
Ibaraki,Japan,1/20/2025,36.303588,140.319591,102784,361,,0.0,0.0
Ishikawa,Japan,1/20/2025,36.769464,136.771027,32439,181,,0.0,0.0
Iwate,Japan,1/20/2025,39.593287,141.361777,16083,71,,0.0,0.0
Kagawa,Japan,1/20/2025,34.217292,133.969047,26513,101,,0.0,0.0
